Time,Lat,Long,SS-RSRP,PCI
35:54.7,37.380322,-120.808854,-75.3,512
35:54.7,37.380322,-120.808854,-75.5,512
35:55.2,37.380322,-120.808854,-75.7,512
35:55.7,37.380322,-120.808854,-74.2,512
35:56.2,37.380322,-120.808854,-74.7,512
35:56.7,37.380322,-120.808854,-72.9,512
35:57.2,37.380322,-120.808854,-75.1,512
35:57.8,37.380322,-120.808854,-73.1,512
35:58.3,37.380322,-120.808854,-73.8,512
35:58.8,37.380322,-120.808854,-72.8,512
35:59.3,37.380322,-120.808854,-74,512
35:59.8,37.380322,-120.808854,-75.9,512
36:00.3,37.380322,-120.808854,-78.6,512
36:00.8,37.380322,-120.808854,-78.4,512
36:01.3,37.380322,-120.808854,-78.9,512
36:01.8,37.380322,-120.808854,-80.6,512
36:02.3,37.380322,-120.808854,-79.8,512
36:02.8,37.380322,-120.808854,-77.4,512
36:03.3,37.380322,-120.808854,-74.6,512
36:04.3,37.380322,-120.808854,-76.9,512
36:04.8,37.380322,-120.808854,-75,512
36:05.3,37.380322,-120.808854,-73.6,512
36:05.8,37.380322,-120.808854,-72.6,512
36:06.3,37.380322,-120.808854,-73.8,512
36:06.8,37.380322,-120.808854,-74.6,512
36:07.3,37.380322,-120.808854,-74,512
36:07.8,37.380322,-120.808854,-78.3,512
36:08.3,37.380322,-120.808854,-77.1,512
36:08.7,37.380322,-120.808855,-77.1,512
36:08.8,37.380322,-120.808855,-76.4,512
36:09.3,37.380322,-120.808855,-73.9,512
36:09.7,37.380322,-120.808856,-73.9,512
36:09.8,37.380322,-120.808856,-75.6,512
36:10.3,37.380322,-120.808856,-73.6,512
36:10.7,37.380321,-120.808858,-73.6,512
36:10.8,37.380321,-120.808858,-76.3,512
36:11.3,37.380321,-120.808858,-71.9,512
36:11.8,37.380321,-120.808858,-68.7,512
36:12.3,37.380321,-120.808858,-69.9,512
36:12.9,37.380321,-120.808858,-71,512
36:13.4,37.380321,-120.808858,-70.1,512
36:13.9,37.380321,-120.808858,-70,512
36:14.9,37.380321,-120.808858,-69.9,512
36:15.4,37.380321,-120.808858,-70.6,512
36:15.9,37.380321,-120.808858,-69.9,512
36:16.4,37.380321,-120.808858,-71,512
36:16.9,37.380321,-120.808858,-69.9,512
36:17.4,37.380321,-120.808858,-74,512
36:17.9,37.380321,-120.808858,-74.8,512
36:18.4,37.380321,-120.808858,-77.3,512
36:18.9,37.380321,-120.808858,-74,512
36:19.4,37.380321,-120.808858,-69.1,512
36:19.9,37.380321,-120.808858,-70.2,512
36:20.5,37.380321,-120.808858,-74.6,512
36:21.0,37.380321,-120.808858,-74.5,512
36:21.5,37.380321,-120.808858,-74.1,512
36:22.0,37.380321,-120.808858,-74.2,512
36:22.5,37.380321,-120.808858,-75,512
36:23.0,37.380321,-120.808858,-73.9,512
36:23.5,37.380321,-120.808858,-74.1,512
36:24.0,37.380321,-120.808858,-77.2,512
36:24.5,37.380321,-120.808858,-79.4,512
36:25.0,37.380321,-120.808858,-76.4,512
36:25.5,37.380321,-120.808858,-75.1,512
36:26.0,37.380321,-120.808858,-76.1,512
36:26.5,37.380321,-120.808858,-75.9,512
36:27.0,37.380321,-120.808858,-75,512
36:27.5,37.380321,-120.808858,-74.9,512
36:28.0,37.380321,-120.808858,-74.1,512
36:28.5,37.380321,-120.808858,-75.5,512
36:29.5,37.380321,-120.808858,-74.9,512
36:30.0,37.380321,-120.808858,-73.6,512
36:30.5,37.380321,-120.808858,-74.3,512
36:31.0,37.380321,-120.808858,-75.7,512
36:31.5,37.380321,-120.808858,-74.8,512
36:32.0,37.380321,-120.808858,-74.9,512
36:32.5,37.380321,-120.808858,-73.4,512
36:33.0,37.380321,-120.808858,-72.9,512
36:33.5,37.380321,-120.808858,-73,512
36:34.0,37.380321,-120.808858,-77.8,512
36:34.5,37.380321,-120.808858,-81.5,512
36:35.0,37.380321,-120.808858,-82,512
36:35.5,37.380321,-120.808858,-82.8,512
36:36.0,37.380321,-120.808858,-79.1,512
36:36.5,37.380321,-120.808858,-77.9,512
36:37.0,37.380321,-120.808858,-78,512
36:38.0,37.380321,-120.808858,-77.8,512
36:38.6,37.380321,-120.808858,-76.9,512
36:39.1,37.380321,-120.808858,-78.6,512
36:39.6,37.380321,-120.808858,-77.2,512
36:40.1,37.380321,-120.808858,-77.5,512
36:40.6,37.380321,-120.808858,-76.3,512
36:40.7,37.38032,-120.808858,-76.3,512
36:41.1,37.38032,-120.808858,-76.5,512
36:41.6,37.38032,-120.808858,-76.2,512
36:42.1,37.38032,-120.808858,-75.8,512
36:42.6,37.38032,-120.808858,-75,512
36:43.1,37.38032,-120.808858,-76.2,512
36:43.6,37.38032,-120.808858,-74.6,512
36:44.1,37.38032,-120.808858,-77.6,512
36:44.6,37.38032,-120.808858,-74.7,512
36:45.1,37.38032,-120.808858,-75,512
36:45.6,37.38032,-120.808858,-75.6,512
36:46.1,37.38032,-120.808858,-74.9,512
36:46.6,37.38032,-120.808858,-75,512
36:47.1,37.38032,-120.808858,-71.6,512
36:47.6,37.38032,-120.808858,-77.8,512
36:48.1,37.38032,-120.808858,-77.3,512
36:48.6,37.38032,-120.808858,-74.4,512
36:48.7,37.38032,-120.808854,-74.4,512
36:49.1,37.38032,-120.808854,-78.7,512
36:49.6,37.38032,-120.808854,-74.3,512
